id,session_id,country_name,is_mobile,ui_element,created_at,measurement_category,timestamp,country_residency,ip_country,important_score,broker_timestamp,country_match,timestamp_within_tolerance
5372485,73717011,saudi arabia,0,popularity-box-whole-row-link,2024-04-21 13:00:51,01bestca/02notrel/03online,,,,,,True,False
5372496,73717763,singapore,0,top2-top-5-box-visit-broker-link-desktop,2024-04-21 13:02:38,01compar/02brvsbr/03notrel,,,,,,True,False
5372500,71890329,united kingdom,0,dynamic score top broker list row,2024-04-21 13:03:08,01bestca/02notrel/03notrel,,,,,,True,False
5372504,71890329,united kingdom,0,dynamic score top broker list row,2024-04-21 13:03:23,01bestca/02notrel/03notrel,,,,,,True,False
5372516,73718003,switzerland,1,fmb broker list item link,2024-04-21 13:05:11,01fmybro/02notrel/03notrel,,,,,,True,False
5372523,73712733,pakistan,0,broker-name-link,2024-04-21 13:06:01,01bestca/02notrel/03online,,,,,,True,False
5372531,73718122,united arab emirates,0,popularity-box-whole-row-link,2024-04-21 13:07:04,01counpg/02notrel/03notrel,,,,,,True,False
5372533,73658879,united states,1,dynamic score top broker list row,2024-04-21 13:07:41,01bestca/02notrel/03notrel,,,,,,True,False
5372536,73718295,germany,1,dynamic score top broker list row,2024-04-21 13:08:08,01bestca/02notrel/03notrel,,,,,,True,False
5372554,73717815,malaysia,0,desktop-top5-box,2024-04-21 13:11:13,01safety/02isscam/03notrel,,,,,,True,False
5372565,72410128,new zealand,0,popularity-box-whole-row-link,2024-04-21 13:13:25,01counpg/02notrel/03notrel,,,,,,True,False
5372573,73718978,mexico,1,dynamic score top broker list row,2024-04-21 13:15:00,01bestca/02notrel/03notrel,,,,,,True,False
5372576,73719044,france,1,dynamic score top broker list row,2024-04-21 13:15:36,01bestca/02notrel/03notrel,,,,,,True,False
5372579,73719011,south africa,1,mobile-chapter-2-top5-box,2024-04-21 13:16:31,01review/02notrel/03review,,,,,,True,False
5372587,73719283,mauritius,1,dynamic score top broker list row,2024-04-21 13:17:48,01counpg/02notrel/03notrel,,,,,,True,False
5372588,73675100,france,1,front-page-visit-broker-button,2024-04-21 13:17:52,01homepa/02notrel/03notrel,,,,,,True,False
5372592,73711568,belgium,0,dynamic score top broker list row,2024-04-21 13:18:16,01bestca/02notrel/03online,,,,,,True,False
5372593,73719124,slovakia,1,mobile-chapter-6-top5-box,2024-04-21 13:18:16,01review/02notrel/03review,,,,,,True,False
5372607,73718347,germany,0,dynamic score top broker list row,2024-04-21 13:20:12,01bestca/02notrel/03online,,,,,,True,False
5372608,73719264,germany,1,top2-header,2024-04-21 13:20:17,01educat/02stocks/03buysto,,,,,,True,False
5372620,73719759,india,0,dynamic score top broker list row,2024-04-21 13:23:18,01bestca/02notrel/03notrel,,,,,,True,False
5372626,73719675,spain,0,fmb broker list item link,2024-04-21 13:24:17,01fmybro/02notrel/03notrel,,,,,,True,False
5372636,73640160,serbia,0,dynamic score top broker list row,2024-04-21 13:25:47,01bestca/02notrel/03notrel,,,,,,True,False
5372638,73719597,india,1,fmb broker list item link,2024-04-21 13:26:10,01fmybro/02notrel/03notrel,,,,,,True,False
5372640,73720050,bosnia and herz.,0,dynamic score top broker list row,2024-04-21 13:26:38,01counpg/02notrel/03notrel,,,,,,True,False
5372665,73719826,czechia,0,broker-name-link,2024-04-21 13:30:35,01bestca/02notrel/03notrel,,,,,,True,False
5372671,73720327,morocco,1,fmb broker list item link,2024-04-21 13:31:28,01fmybro/02notrel/03notrel,,,,,,True,False
5372673,73720183,united kingdom,0,desktop-top5-box,2024-04-21 13:31:42,01review/02notrel/03review,,,,,,True,False
5372681,73720438,lithuania,1,mobile-chapter-2-top5-box,2024-04-21 13:33:32,01safety/02isscam/03notrel,,,,,,True,False
5372685,73720554,germany,0,dynamic score top broker list row,2024-04-21 13:34:12,01bestca/02notrel/03online,,,,,,True,False
5372687,73719826,czechia,0,dynamic score top broker list row,2024-04-21 13:34:29,01bestca/02notrel/03notrel,,,,,,True,False
5372697,73128434,united states,1,mobile-chapter-2-top5-box,2024-04-21 13:36:56,01safety/02isscam/03notrel,,,,,,True,False
5372698,73720210,united states,1,dynamic score top broker list row,2024-04-21 13:37:14,01bestca/02notrel/03notrel,,,,,,True,False
5372701,73720866,south korea,1,mobile-chapter-2-top5-box,2024-04-21 13:37:28,01review/02notrel/03notrel,,,,,,True,False
5372704,73695334,united states,1,mobile-chapter-2-top5-box,2024-04-21 13:37:33,01counpg/02notrel/03notrel,,,,,,True,False
5372711,73693660,estonia,0,dynamic score top broker list row,2024-04-21 13:38:24,01bestca/02notrel/03notrel,,,,,,True,False
5372717,73640160,serbia,0,dynamic score top broker list row,2024-04-21 13:39:44,01bestca/02notrel/03notrel,,,,,,True,False
5372721,73720226,germany,1,mobile-chapter-2-top5-box,2024-04-21 13:40:18,01safety/02isscam/03notrel,,,,,,True,False
5372727,73721004,india,1,fmb broker list item link,2024-04-21 13:40:54,01fmybro/02notrel/03notrel,,,,,,True,False
5372728,71043948,india,1,mobile-chapter-2-top5-box,2024-04-21 13:41:00,01bestca/02notrel/03notrel,,,,,,True,False
